id,proper,dist,con,comp,comp_primary,lum,temp,rad,lifetime
105041,,197.218889,Mic,1,105041,38.26484865951095,9777.327488903338,2.1767856366344573,740
103355,,201.7315398,Mic,1,103355,6.956647535283519,4788.824417615377,3.8689949182559653,2501
101232,,217.7570934,Mic,1,101232,10.20469431942199,7698.603814159162,1.813142951754327,1902
103504,,219.66340620000003,Mic,1,103504,16.76486266073897,4501.8458281964095,6.796334587488622,1334
102165,,221.3025612,Mic,1,102165,10.167168004663754,6709.254841251118,2.3829087427016122,1907
103406,,229.0729714,Mic,1,103406,58.183521104807205,5023.375177795588,10.168684119609674,548
101151,,234.002832,Mic,1,101151,40.14209182043211,4745.1404245925805,9.465811434306477,715
101684,,236.8916592,Mic,1,101684,29.785164294291896,4476.184906565805,9.163047758801767,885
104104,,251.8919662,Mic,1,104104,13.415287982661267,6299.551258613002,3.1048223711712106,1565
105513,,263.70236339999997,Mic,1,105513,31.564578912990694,4338.3712281455955,10.041591840802461,849
103487,,268.0362566,Mic,1,103487,10.223509385032301,4843.38390896082,4.585199094120637,1900
103482,,268.2564416,Mic,1,103482,13.001695780332902,5731.335497109159,3.6927025289950137,1600
105423,,287.6542508,Mic,1,105423,11.555799554021286,6361.8015283728,2.8255028836908003,1741
101459,,297.6278158,Mic,1,101459,16.307973610235937,6704.2170297243065,3.0224550960229855,1361
103813,,301.4786068,Mic,1,103813,39.40941607322858,4632.653902636227,9.840026658928897,724
102628,,321.37941639999997,Mic,1,102628,15.531020752328464,7725.929715876616,2.2210302887738798,1409
102166,,324.577155,Mic,1,102166,55.41151189716867,11215.622262112387,1.990715688806299,568
103839,,328.1689432,Mic,1,103839,73.31620890272109,4506.152751227316,14.185484321950812,465
104890,,359.2512364,Mic,1,104890,29.10717118066605,4825.882104517954,7.7929622272145656,900
102081,,364.0623602,Mic,1,102081,20.66331517564482,5852.509413999555,4.464488876411487,1149
104414,,365.6949912,Mic,1,104414,44.7919531254284,4823.3927491334525,9.677222683511651,661
104412,,366.9290058,Mic,1,104412,75.50922276654337,3909.9170467822028,19.121453434734672,455
102500,,378.4223366,Mic,1,102500,129.65820353826285,4733.15479863762,17.098364473051202,309
105355,,390.658751,Mic,1,105355,62.05831792990614,10597.705652891262,2.359566823358483,524
103373,,395.8737104,Mic,1,103373,28.31391995799379,4609.92230888725,8.423038282824235,918
102796,,400.2454428,Mic,1,102796,95.85173976856458,4089.516341211745,19.693009539956968,384
104132,,449.3111420000001,Mic,1,104132,40.364539296760476,4419.556193674874,10.942049287063009,712
101761,,453.0555918,Mic,1,101761,84.17827076608127,3718.3749969701685,22.322848659175317,421
104768,,460.7343398,Mic,1,104768,31.622776601683796,4366.427786106682,9.9220959643587,848
101296,,463.352421,Mic,1,101296,50.21113054699536,4845.895125106508,10.150979841559487,609
102659,,482.544398,Mic,1,102659,71.77942912713615,9777.327488903338,2.9813685312756992,472
103416,,495.7447334,Mic,1,103416,36.27438014764577,8486.084510400658,2.813463480060546,769
104096,,521.0862328000001,Mic,1,104096,40.068215418221115,4838.369718850402,9.096155671228022,716
102339,,524.4372854000001,Mic,1,102339,58.1299567725388,4386.702436979577,13.32844963665642,549
101727,,535.6321432,Mic,1,101727,74.26770437146976,4907.0014099217815,12.039920564410524,461
103790,,554.7618160000001,Mic,1,103790,42.18907465677975,4527.818003895074,10.658057602201852,690
104587,,558.5617198,Mic,1,104587,84.56682000993546,4434.092768557611,15.734264155174598,420
103838,,560.4810806,Mic,1,103838,48.528850016212104,4567.372866386861,11.233705958608924,624
104037,,561.445654,Mic,1,104037,46.08928809808953,11137.848875192438,1.8409981219042966,648
102772,,569.2845662000001,Mic,1,102772,76.48917910070716,4514.792642720805,14.433789583016884,451
104061,,575.3085016,Mic,1,104061,43.732066516964494,4914.754539002157,9.209845023028885,672
101226,,586.6905982,Mic,1,101226,76.20790100254122,11168.812960327412,2.354192387526166,452
102585,,587.7478124,Mic,1,102585,175.22658618857096,3983.407818476451,28.063797905361604,249
102570,,647.2222274,Mic,1,102570,92.7256742580594,3774.0572260944014,22.74254302208928,393
100885,,682.4267100000001,Mic,1,100885,109.95120668793496,7959.765728082618,5.567438336434681,348
104642,,704.5355674,Mic,1,104642,143.48285182325893,3983.407818476451,25.394896329414227,288
104172,,710.6753038,Mic,1,104172,98.26525828295314,11231.323161835167,2.643590241993359,377
100691,,712.2270372,Mic,1,100691,152.19486509036517,11472.892118280692,3.152899788731417,276
103842,,712.2270372,Mic,1,103842,250.26493257310798,4034.024071541386,32.70235407148995,193
101850,,713.7856208,Mic,1,101850,66.68067692136219,9155.264673431759,3.277284764865857,497
104163,,782.2543484,Mic,1,104163,108.54254493068264,3679.836394205649,25.882067556303443,351
102050,,797.5550856,Mic,1,102050,86.37737465291839,4917.344678847713,12.929885680842418,413
101899,,916.2922118000001,Mic,1,101899,207.5869270495196,4574.036167385531,23.166306531371617,221
101720,,924.0792581999999,Mic,1,101720,147.36691770366878,4170.308016160508,23.48116938547748,282
103570,,953.8012974,Mic,1,103570,235.5049283896009,4878.793247848482,21.688582009262397,202
101188,,967.9525058,Mic,1,101188,155.8834467704389,4173.97632338522,24.107713670333727,271
102718,,997.5535248000001,Mic,1,102718,142.82360800191825,4806.042931219196,17.40526721768263,288
102837,,1025.7861348,Mic,1,102837,235.07151159382903,3602.487511338517,39.742118985113315,202
